ZIP Code,Type,County,Population,Area Code(s)
63124,Standard,Saint Louis,294,314
63125,Standard,Saint Louis City,"2,316",314
63126,Standard,Saint Louis City,"2,620",314
63127,Standard,Saint Louis,"4,939",314
63128,Standard,Saint Louis City,"6,900",314
63129,Standard,Saint Louis,"8,161",314
63130,Standard,Saint Louis,"8,825",314
63131,Standard,Saint Louis,"9,163",314
63132,Standard,Saint Louis,"9,678",314
63133,Standard,Saint Louis City,"10,296",314
63134,Standard,Saint Louis,"10,417",314 / 636
63135,Standard,Saint Louis City,"11,373",314
63136,Standard,Saint Louis City,"11,883",314
63137,Standard,Saint Louis City,"11,912",314
63138,Standard,Saint Louis City,"13,167",314
63139,Standard,Saint Louis,"13,638",314
63140,Standard,Saint Louis,"13,988",314 / 636
63141,Standard,Saint Louis,"15,112",314
63143,Standard,Saint Louis,"16,769",314
63144,Standard,Saint Louis City,"17,107",314
63145,Standard,Saint Louis,"17,667",314
63146,Standard,Saint Louis City,"18,656",314
63147,Standard,Saint Louis,"20,175",314
63150,Standard,Saint Louis City,"20,313",314
63151,Standard,Saint Louis City,"20,368",314
63155,Standard,Saint Louis,"20,593",314 / 636
63156,Standard,Saint Louis,"20,654",314
63157,Standard,Saint Louis City,"20,775",314
63158,Standard,Saint Louis,"21,334",314
63160,Standard,Saint Louis City,"21,568",314
63163,Standard,Saint Louis City,"22,789",314
63164,Standard,Saint Louis,"26,602",314
63166,Standard,Saint Louis City,"26,704",314
63167,Standard,Saint Louis City,"26,946",314
63169,Standard,Saint Louis,"29,262",314 / 636
63171,Standard,Saint Louis,"29,356",314
63177,Standard,Saint Louis,"30,084",314
63178,Standard,Saint Louis,"32,201",314
63179,Standard,Saint Louis,"33,969",314
63180,Standard,Saint Louis,"36,201",314
63182,Standard,Saint Louis,"38,495",314
63188,Standard,Saint Louis City,"43,540",314
63195,Standard,Saint Louis,"48,560",314
63197,Standard,Saint Louis,"49,308",314
63199,Standard,Saint Louis,"52,718",314 / 636
