ZIP,Code,Type,County,Population,Area,Code(s),,
ZIP,Code,63101,Standard,Saint,Louis,City,2620,314
ZIP,Code,63102,Standard,Saint,Louis,City,2316,314
ZIP,Code,63103,Standard,Saint,Louis,City,6900,314
ZIP,Code,63104,Standard,Saint,Louis,City,18656,314
ZIP,Code,63106,Standard,Saint,Louis,City,11883,314
ZIP,Code,63107,Standard,Saint,Louis,City,11912,314
ZIP,Code,63108,Standard,Saint,Louis,City,21568,314
ZIP,Code,63109,Standard,Saint,Louis,City,26946,314
ZIP,Code,63110,Standard,Saint,Louis,City,17107,314
ZIP,Code,63111,Standard,Saint,Louis,City,20313,314
ZIP,Code,63112,Standard,Saint,Louis,City,20368,314
ZIP,Code,63113,Standard,Saint,Louis,City,13167,314
ZIP,Code,63115,Standard,Saint,Louis,City,20775,314
ZIP,Code,63116,Standard,Saint,Louis,City,43540,314
ZIP,Code,63118,Standard,Saint,Louis,City,26704,314
ZIP,Code,63120,Standard,Saint,Louis,City,10296,314
ZIP,Code,63139,Standard,Saint,Louis,City,22789,314
ZIP,Code,63147,Standard,Saint,Louis,City,11373,314
ZIP,Code,63150,Unique,Saint,Louis,City,0,314
ZIP,Code,63155,Standard,Saint,Louis,City,0,314
ZIP,Code,63160,Unique,Saint,Louis,City,0,314
ZIP,Code,63164,Unique,Saint,Louis,City,0,314
ZIP,Code,63171,Unique,Saint,Louis,City,0,314
ZIP,Code,63180,Standard,Saint,Louis,City,0,314
ZIP,Code,63182,Standard,Saint,Louis,City,0,314
ZIP,Code,63195,Unique,Saint,Louis,City,0,314
ZIP,Code,63197,Unique,Saint,Louis,City,0,314
ZIP,Code,63199,Unique,Saint,Louis,City,0,314
