Latitude,Longitude,City,geopoint,Zip
38.631551,-90.193,Saint Louis,"38.631551, -90.193",63101
38.6352,-90.18702,Saint Louis,"38.6352, -90.18702",63102
38.631451,-90.21415,Saint Louis,"38.631451, -90.21415",63103
38.610701,-90.21362,Saint Louis,"38.610701, -90.21362",63104
38.644451,-90.20636,Saint Louis,"38.644451, -90.20636",63106
38.6628,-90.20949,Saint Louis,"38.6628, -90.20949",63107
38.646201,-90.25435,Saint Louis,"38.646201, -90.25435",63108
38.586052,-90.2941,Saint Louis,"38.586052, -90.2941",63109
38.622601,-90.26182,Saint Louis,"38.622601, -90.26182",63110
38.559302,-90.25174,Saint Louis,"38.559302, -90.25174",63111
38.661351,-90.28434,Saint Louis,"38.661351, -90.28434",63112
38.656701,-90.24397,Saint Louis,"38.656701, -90.24397",63113
38.676851,-90.24009,Saint Louis,"38.676851, -90.24009",63115
38.580552,-90.26307,Saint Louis,"38.580552, -90.26307",63116
38.594901,-90.2278,Saint Louis,"38.594901, -90.2278",63118
38.691901,-90.25992,Saint Louis,"38.691901, -90.25992",63120
38.610901,-90.29174,Saint Louis,"38.610901, -90.29174",63139
38.692861,-90.21905,Saint Louis,"38.692861, -90.21905",63147
,,,,
,,,,
